id;Multiclass_classification
947618361063731200;1
947616643185807360;3
947616217354907655;1
947615842577117184;2
947615045097107461;2
947614482431397888;3
947614160069840896;1
947613684934807553;1
947613395594948608;2
947613337633816577;2
947613328427319296;2
947612607397093376;2
947611831769722880;1
947611702874464258;3
947611670783852545;3
947610785605304321;1
947609578929303552;1
947609060702027776;3
947608294956421120;3
947607313690562560;1
947604514667888645;1
947604120898117632;3
947603443560181760;3
947603341076549637;3
947603293848637440;1
947603291839582209;1
947602537418493952;2
947602346875305984;1
947601923623993344;1
947601180900728832;1
947600743757963270;2
947599992671256576;1
947599883191685120;2
947599760063594496;1
947599339484041217;2
947598961778491396;2
947598777774428160;2
947598192455151621;3
947598152655183872;1
947597703323770880;3
947597216906137600;3
947596293450469381;1
947595294497296384;1
947595253762154505;1
947593964034707456;3
947592999248236545;2
947592199381835776;1
947591961346789382;3
947591182380617736;1
947590678476918785;1
947589939939758085;1
947588947231813633;3
947588574060384258;2
947588374117912577;3
947588161810681856;1
947587702949666817;3
947587695236341762;3
947587667495075840;1
947587645114343425;3
947587629784158209;1
947585644993417216;1
947585208152453120;2
947584752894300161;3
947583763265007617;3
947583731220533248;3
947583299865776128;3
947583098077831168;2
947582875385368579;1
947582565107593218;1
947582042413387779;1
947581093028413440;2
947580611832811522;3
947580082515857408;1
947579360260784131;1
947578096105947136;1
947577411608174593;2
947575630509600775;1
947575579049648128;3
947575549446230016;3
947575409373216768;3
947575182046257152;2
947574669678448640;3
947574667719700480;3
947574648933421057;3
947574615311777796;2
947574422302613507;3
947574409883213830;1
947573939710111744;3
947573372292096000;3
947573166574112768;3
947572683495170049;3
947572185627013120;2
947570650310434816;3
947570053913894912;3
947569409329188865;1
947568798529409029;1
947567538153680896;3
947566190163087361;3
947566027100995584;1
947565511654690818;3
947565123840958464;1
947564906320146432;3
947564399790837760;3
947563971875344385;2
947563398891474945;3
947563356835196930;3
947562996020150272;3
947562358020255745;2
947561972555333632;3
947560761613869057;3
947559967556538369;1
947559535731863553;1
947559233213620224;1
947559088229179395;2
947558327801864192;1
947556930419118082;1
947555446784712704;3
947554719693541376;1
947553872998010885;1
947553872045838336;3
947553067829829632;3
947552939480055808;1
947552929690595328;1
947551707902431232;3
947551335045648387;1
947550965569327104;1
947549756657733632;3
947547422338748417;2
947546664901935110;3
947546225494122496;3
947545890750980103;3
947545729232441344;1
947545302462025733;1
947544146503520262;1
947544134738497536;3
947543939443298306;2
947543939195789313;3
947543923358162944;3
947543114658566145;2
947542963869151233;2
947542939865047040;3
947542863402950656;1
947541994301153280;1
947541962822791168;2
947541831868452864;1
947541611591946241;1
947540445764161543;2
947540349131640832;1
947539462011129856;1
947539411557896193;2
947539171324948481;3
947539139938930688;3
947538796601663489;1
947538771334930433;1
947537961620529152;1
947537861909385218;1
947537831517442048;3
947537497235398656;1
947537019487637504;3
947536862582751232;1
947535330814713861;3
947535313685172225;1
947534928010530821;2
947534488749277184;3
947533639516151810;3
947533628476706816;3
947533463988645888;1
947532968427446273;2
947532848554303488;3
947531589331902465;2
947531455504171009;3
947531177199636482;1
947530872961622017;2
947530459382153220;2
947530441371897857;2
947530298807455744;3
947530086365896704;1
947528791479418882;3
947528735007309824;3
947528186736373761;2
947528164678537216;1
947528102317608961;2
947528082268807169;2
947528046390792192;3
947527891973054464;2
947527827750051842;3
947527757742911488;3
947527624741605380;3
947526097490579456;1
947526002141306881;2
947525360228487168;3
947525236743987200;3
947524347790594048;3
947524341373263872;3
947521818394378240;3
947521492715220992;1
947521318794268672;3
947521316814573573;1
947521312146194432;1
947521236988555264;2
947521122156806144;1
947521058592247809;3
947520928476487681;3
947520915222474753;3
947520856305098752;2
947520827754450944;2
947520657641832449;3
947520568420691969;3
947520517099188225;3
947520285431025664;2
947517790923223041;1
947517745289224193;1
947517697398538240;2
